label,text
ham,Hello how are you
spam,Win money now
ham,Let's meet tomorrow
spam,Claim your free prize now
ham,Are you coming today
spam,Congratulations you won lottery
ham,Can we talk later
spam,Limited time offer click now
ham,Please send me the notes
spam,You are selected for a cash reward
ham,Let's have lunch together
spam,Earn money from home easily
ham,Call me when you reach
spam,Get rich quick scheme
ham,See you tomorrow in class
spam,You have won a free gift
ham,Please check the document
spam,Exclusive deal just for you
ham,Good morning have a nice day
spam,Click here to claim your reward
ham,Are you free today
spam,Win big prizes instantly
ham,Let's discuss the project
spam,Free membership available now
ham,Thanks for your help
spam,Special discount only for you
ham,Meeting is at 5 PM
spam,Act now to get bonus
ham,Can you send the file
spam,You are a lucky winner
ham,Let's go for a walk
spam,Claim your free voucher
ham,Did you finish homework
spam,You won cash prize
ham,Let's plan for weekend
spam,Get instant loan approval
ham,See you soon
spam,Win exciting rewards today
ham,Can we reschedule meeting
spam,Free recharge offer now
ham,Please call me back
spam,Limited period offer hurry up
ham,Are you available now
spam,Click link to get reward
ham,Good evening
spam,You have been selected
ham,Let's study together
spam,Win a brand new phone
ham,Send me the details
spam,Free bonus for new users
ham,How was your day
spam,Get money instantly
ham,Let's meet at office
spam,You are chosen for prize
ham,Take care see you
spam,Claim your reward now
ham,Please update me
spam,Free entry for lucky draw
ham,Call me later
spam,Win free coupons today
ham,Are you at home
spam,Exclusive offer ends today
ham,Let's go shopping
spam,Get free trial now
ham,Please check email
spam,Win amazing prizes
ham,How are things going
spam,Claim bonus reward now
ham,Let's catch up later
spam,Special offer just for you
ham,Please confirm meeting
spam,Win lottery now
ham,Can you help me
spam,Free access available
ham,Let's meet in evening
spam,Earn cash easily
ham,Good night
spam,Click now to win
ham,See you later
spam,Limited deal hurry
ham,How is everything
spam,Win cash instantly
ham,Let's talk soon
spam,Free gift claim now
ham,Please reply soon
spam,Get bonus today
ham,Thanks again
spam,Exclusive rewards waiting
ham,Meeting confirmed
spam,Win now click here
ham,Call me tomorrow
spam,Free prize inside
ham,Let's finish work
spam,You are selected winner
ham,Have a great day
spam,Get rich offer now
ham,Talk to you later
spam,Claim your free cash
ham,Are you okay
spam,Win big now
ham,Please send details
spam,Limited time deal
ham,Let's meet soon
spam,Get reward instantly
ham,Good afternoon
spam,Free money waiting
ham,Check this out
spam,Win free entry
ham,See you at college
spam,Claim your prize
ham,Please join meeting
spam,Earn fast cash
ham,Let's work together
spam,Free bonus offer
ham,Call me tonight
spam,You won big prize
ham,Thanks for support
spam,Click to claim reward
ham,Let's plan trip
spam,Win cash reward
ham,Please review file
spam,Free subscription now
ham,Are you busy
spam,Special deal available
ham,Let's meet tomorrow morning
spam,Win instant prize
ham,See you in evening
spam,Claim free reward
ham,Good luck
spam,Get free access
ham,Please call later
spam,Win exciting gifts
ham,Let's discuss tomorrow
spam,Free coupons available
ham,Take care
spam,You are lucky winner
ham,Please send update
spam,Win rewards now
